"tab_code","表章項目","cat01_code","品目分類（2020年改定）","cat02_code","世帯区分","area_code","地域区分","time_code","時間軸（月次）","unit","value"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000606","2019年6月","1g","176"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000707","2019年7月","1g","158"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000808","2019年8月","1g","157"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000909","2019年9月","1g","222"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019001010","2019年10月","1g","253"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019001111","2019年11月","1g","231"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019001212","2019年12月","1g","271"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020000101","2020年1月","1g","205"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020000202","2020年2月","1g","261"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020000303","2020年3月","1g","332"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020000404","2020年4月","1g","293"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020000505","2020年5月","1g","236"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020000606","2020年6月","1g","172"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020000707","2020年7月","1g","198"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020000808","2020年8月","1g","190"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020000909","2020年9月","1g","234"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020001010","2020年10月","1g","253"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020001111","2020年11月","1g","259"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2020001212","2020年12月","1g","308"
